,English Name,Korean Name,Ingredients,Type,Video,ingredients_parsed
0,Mustard greens kimchi,갓김치,"['anchovy kelp stock', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'hot pepper flakes', 'kosher salt', 'mustard greens', 'onion', 'soy sauce', 'sugar', '']","['easy', 'kimchi', 'preserved side dish', 'side dish', 'spicy']", ,"['anchovy kelp stock', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'mustard greens', 'onion', '']"
1,Green onion kimchi,파김치,"['fish sauce', 'glutinous rice flour', 'green onion', 'hot pepper flakes', 'sugar', '']","['easy', 'fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=-p_5xjsxESg,"['fish sauce', 'glutinous rice flour', 'green onion', '']"
2,Quick-fermenting radish water kimchi,동치미,"['apple', 'daikon radish', 'flour', 'garlic', 'ginger', 'green chili pepper', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'onion', 'water', '']","['appetizer', 'cold', 'easy', 'fermented', 'kimchi', 'spicy']",https://youtube.com/watch?v=n45BLSybVmY,"['apple', 'daikon radish', 'garlic', 'ginger', 'green chili pepper', 'Korean radish', 'onion', '']"
3,Chayote kimchi,차이오티 김치,"['chayote', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'kosher salt', 'onion', 'soy sauce', '']","['cold', 'easy', 'fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=nCymd2wcJRw,"['chayote', 'fish sauce', 'garlic', 'ginger', 'green onion', 'onion', '']"
4,Vegetarian kimchi,채식김치,"['Asian chives', 'carrot', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'sugar', 'sweet rice flour', 'vegetable stock', '']","['fermented', 'kimchi', 'side dish', 'vegetarian']",https://youtube.com/watch?v=nLdvLt8XQ3Y,"['Asian chives', 'carrot', 'garlic', 'ginger', 'green onion', 'Korean radish', 'napa cabbage', 'onion', 'sweet rice flour', 'vegetable stock', '']"
5,"Quick, fresh kimchi",배추겉절이,"['Asian chives', 'carrot', 'fermented salted anchovies', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'green onion', 'hot pepper flakes', 'kosher salt', 'napa cabbage', 'onion', 'sugar', 'sweet rice flour', '']","['cold', 'easy', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=VO3EiWBH15Y,"['Asian chives', 'carrot', 'fermented salted anchovies', 'fish sauce', 'garlic', 'ginger', 'glutinous rice flour', 'green onion', 'napa cabbage', 'onion', 'sweet rice flour', '']"
6,Vegetable and fruit water kimchi,나박김치,"['apple', 'english cucumber', 'garlic', 'ginger', 'green chili pepper', 'green onion', 'hot pepper flakes', 'Korean pear', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'red radish', 'water', '']","['appetizer', 'cold', 'easy', 'fermented', 'kimchi', 'side dish', 'spicy', 'vegetarian']",https://youtube.com/watch?v=LBJMJZdZEOQ,"['apple', 'english cucumber', 'garlic', 'ginger', 'green chili pepper', 'green onion', 'Korean pear', 'Korean radish', 'napa cabbage', 'onion', 'red radish', '']"
7,Asian chive kimchi,부추김치,"['Asian chives', 'fish sauce', 'hot pepper flakes', 'onion', 'sugar', 'sweet rice flour', 'toasted sesame seeds', '']","['cold', 'easy', 'kimchi', 'preserved side dish', 'side dish', 'spicy', 'vegetarian']",https://youtube.com/watch?v=bPOjt0NKawA,"['Asian chives', 'fish sauce', 'onion', 'sweet rice flour', 'toasted sesame seeds', '']"
8,Spicy stuffed green chili pepper kimchi,고추소박이,[''],[''],https://youtube.com/watch?v=jDIV_a5kkfQ,['']
9,Napa cabbage kimchi,통배추김치,"['Asian chives', 'carrot', 'fermented salted shrimp', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'minari', 'napa cabbage', 'onion', 'sugar', 'sweet rice flour', 'Turbinado sugar', 'water', '']","['cold', 'fermented', 'kimchi', 'preserved side dish', 'side dish', 'spicy']",https://youtube.com/watch?v=eTucCw1w6Ak,"['Asian chives', 'carrot', 'fermented salted shrimp', 'fish sauce', 'garlic', 'ginger', 'green onion', 'Korean radish', 'minari', 'napa cabbage', 'onion', 'sweet rice flour', 'Turbinado sugar', '']"
10,White Kimchi,백김치,"['Asian chives', 'carrot', 'chestnuts', 'daikon radish', 'fermented salted shrimp', 'garlic', 'ginger', 'Korean pear', 'Korean radish', 'kosher salt', 'napa cabbage', 'onion', 'pine nuts', 'red bell pepper', '']","['cold', 'fermented', 'kimchi', 'non spicy', 'side dish', 'vegetarian']",https://youtube.com/watch?v=SXtZz4_7yIw,"['Asian chives', 'carrot', 'chestnuts', 'daikon radish', 'fermented salted shrimp', 'garlic', 'ginger', 'Korean pear', 'Korean radish', 'napa cabbage', 'onion', 'pine nuts', 'red bell pepper', '']"
11,Radish water kimchi,동치미,"['garlic', 'ginger', 'green chili pepper', 'green onion', 'Korean pear', 'Korean radish', 'kosher salt', 'onion', 'water', '']","['cold', 'fermented', 'kimchi', 'non spicy', 'side dish']",https://youtube.com/watch?v=ATe2jm83MSg,"['garlic', 'ginger', 'green chili pepper', 'green onion', 'Korean pear', 'Korean radish', 'onion', '']"
12,Ponytail kimchi,총각김치,"['chonggakmu', 'fish sauce', 'flour', 'garlic', 'green onion', 'hot pepper flakes', 'kosher salt', 'onion', 'sugar', '']","['fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=MN5AhKpLEK0,"['chonggakmu', 'fish sauce', 'garlic', 'green onion', 'onion', '']"
13,Cubed radish kimchi,깍두기,"['daikon radish', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'sugar', '']","['easy', 'fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=z5NXchQKy-s,"['daikon radish', 'fish sauce', 'garlic', 'ginger', 'green onion', 'Korean radish', '']"
14,Emergency kimchi,양배추김치,"['cabbage', 'carrot', 'fish sauce', 'green onion', 'hot pepper flakes', 'kosher salt', '']","['kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=CqY22Y7hVgE,"['cabbage', 'carrot', 'fish sauce', 'green onion', '']"
15,Easy-to-make kimchi,막김치,"['carrot', 'fish sauce', 'garlic', 'ginger', 'green onion', 'hot pepper flakes', 'Korean radish', 'kosher salt', 'leek', 'napa cabbage', 'onion', 'squid', 'sugar', 'sweet rice flour', 'water', '']","['fermented', 'kimchi', 'spicy']",https://youtube.com/watch?v=0sX_wDCbeuU,"['carrot', 'fish sauce', 'garlic', 'ginger', 'green onion', 'Korean radish', 'leek', 'napa cabbage', 'onion', 'squid', 'sweet rice flour', '']"
16,Perilla leaf kimchi,깻잎김치,"['carrot', 'fish sauce', 'garlic', 'green onion', 'honey', 'hot pepper flakes', 'onion', 'perilla leaves', 'sesame seeds', '']","['kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=2zTCa7Ea23c,"['carrot', 'fish sauce', 'garlic', 'green onion', 'onion', 'perilla leaves', 'sesame seeds', '']"
17,Young summer radish water kimchi,열무 물김치,"['green chili pepper', 'red chili pepper', 'water', 'young summer radish', '']","['kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=ZkxmncTRQZY,"['green chili pepper', 'red chili pepper', 'young summer radish', '']"
18,Spicy stuffed cucumber kimchi,오이소박이 김치,"['Asian chives', 'carrot', 'cucumber', 'fish sauce', 'garlic', 'hot pepper flakes', 'Kirby cucumbers', 'kosher salt', 'onion', 'sesame seeds', 'sugar', 'water', '']","['fermented', 'kimchi', 'side dish', 'spicy']",https://youtube.com/watch?v=ApQUENQbgiY,"['Asian chives', 'carrot', 'cucumber', 'fish sauce', 'garlic', 'Kirby cucumbers', 'onion', 'sesame seeds', '']"
